@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute outputs-1 {0,1,2,3}

@data
48,'2023/10/24 14:25:28:766',2,0.433309,0,0.07654,0,0.07654,0,0.07654,0,0.07654,0,0.07654,0,0.07654,0,0.07654,0,0.07654,0,0.07654,0,0.07654,?
49,'2023/10/24 14:25:28:782',2,0.433309,0,0.07654,0,0.07654,0,0.07654,0,0.07654,0,0.07654,0,0.07654,0,0.07654,0,0.07654,0,0.07654,0,0.07654,?
50,'2023/10/24 14:25:28:798',2,0.412054,1012.060547,0.076793,0,0.075416,0,0.075416,0,0.075416,0,0.075416,0,0.075416,0,0.075416,0,0.075416,0,0.075416,0,0.075416,?
51,'2023/10/24 14:25:28:814',2,0.412054,1012.060547,0.076793,0,0.075416,0,0.075416,0,0.075416,0,0.075416,0,0.075416,0,0.075416,0,0.075416,0,0.075416,0,0.075416,?
52,'2023/10/24 14:25:31:445',2,0.42026,1012.060547,0.129566,279.931641,0.11896,1033.59375,0.107725,882.861328,0.09859,258.398438,0.094507,495.263672,0.081891,904.394531,0.081707,990.527344,0.073641,301.464844,0.058131,516.796875,0.057951,?
53,'2023/10/24 14:25:31:464',2,0.412304,1012.060547,0.14221,279.931641,0.111002,1356.591797,0.085101,1378.125,0.076022,258.398438,0.068318,1399.658203,0.068238,882.861328,0.062517,904.394531,0.062484,495.263672,0.058895,1033.59375,0.049552,?
54,'2023/10/24 14:25:31:480',2,0.412304,1012.060547,0.14221,279.931641,0.111002,1356.591797,0.085101,1378.125,0.076022,258.398438,0.068318,1399.658203,0.068238,882.861328,0.062517,904.394531,0.062484,495.263672,0.058895,1033.59375,0.049552,?
55,'2023/10/24 14:25:35:414',2,0.414145,236.865234,0.071035,64.599609,0.068083,0,0.065765,0,0.065765,0,0.065765,0,0.065765,0,0.065765,0,0.065765,0,0.065765,0,0.065765,?
56,'2023/10/24 14:25:37:212',2,0.443795,258.398438,0.303017,279.931641,0.232358,236.865234,0.180609,366.064453,0.160917,387.597656,0.15858,344.53125,0.094322,409.130859,0.086106,322.998047,0.085639,430.664063,0.033317,495.263672,0.033219,?
57,'2023/10/24 14:25:37:230',2,0.468039,258.398438,0.314703,387.597656,0.245174,322.998047,0.239267,279.931641,0.227191,301.464844,0.153202,344.53125,0.152888,215.332031,0.143944,193.798828,0.120176,366.064453,0.090376,495.263672,0.079329,?
