@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
96,'2023/10/22 16:28:20:100',3,0.360126,1528.857422,0.037333,1507.324219,0.030958,1550.390625,0.025662,9410.009766,0.023106,9388.476563,0.021648,?,?,?
97,'2023/10/22 16:28:20:115',3,0.29155,1507.324219,0.01669,473.730469,0.004892,1765.722656,0.004426,1528.857422,0.003751,1808.789063,0.003376,?,?,?
98,'2023/10/22 16:28:20:133',3,0.263649,1507.324219,0.014203,1765.722656,0.004059,473.730469,0.004049,1808.789063,0.002934,1485.791016,0.002808,?,?,?
99,'2023/10/22 16:28:21:253',3,0.439546,1507.324219,0.048534,1528.857422,0.047736,1550.390625,0.039487,1485.791016,0.037077,1571.923828,0.032004,?,?,?
100,'2023/10/22 16:28:21:267',3,0.381806,1507.324219,0.054482,1528.857422,0.048209,1550.390625,0.036861,1571.923828,0.032131,1485.791016,0.031041,?,?,?
101,'2023/10/22 16:28:21:285',3,0.381806,1507.324219,0.054482,1528.857422,0.048209,1550.390625,0.036861,1571.923828,0.032131,1485.791016,0.031041,?,?,?
102,'2023/10/22 16:28:21:299',3,0.348758,1507.324219,0.02567,1485.791016,0.023021,1528.857422,0.020944,2325.585938,0.018426,1464.257813,0.016082,?,?,?
103,'2023/10/22 16:28:21:315',3,0.282346,1507.324219,0.011689,1464.257813,0.010718,473.730469,0.006154,1485.791016,0.005876,2347.119141,0.003809,?,?,?
104,'2023/10/22 16:28:21:331',3,0.282346,1507.324219,0.011689,1464.257813,0.010718,473.730469,0.006154,1485.791016,0.005876,2347.119141,0.003809,?,?,?
105,'2023/10/22 16:28:21:384',3,0.288053,1507.324219,0.032748,1485.791016,0.018855,9366.943359,0.015211,1571.923828,0.015156,473.730469,0.014507,?,?,?
